0,0.0254341,0,0.10294
1,0.186287,1,0.13957
2,0.117282,2,0.180043
3,0.345766,3,0.223652
4,0.347332,4,0.269725
5,0.452594,5,0.317631
6,0.373539,6,0.366775
7,0.231773,7,0.416599
8,0.427534,8,0.46658
9,0.402186,9,0.51623
10,0.566062,10,0.565096
11,0.439292,11,0.612758
12,0.635699,12,0.658827
13,0.757442,13,0.702949
14,0.81338,14,0.744798
15,0.874235,15,0.784079
16,0.785177,16,0.820525
17,0.91938,17,0.8539
18,1.02587,18,0.883993
19,0.850557,19,0.910622
20,1.04173,20,0.93363
21,1.13887,21,0.952884
22,0.839223,22,0.968277
23,0.886246,23,0.979726
24,0.881867,24,0.987169
25,1.13746,25,0.990567
26,1.1979,26,0.989902
27,0.94909,27,0.985175
28,0.9012,28,0.976409
29,0.778081,29,0.963645
30,0.788106,30,0.94694
31,0.752263,31,0.92637
32,1.07234,32,0.902026
33,0.785465,33,0.874015
34,0.920801,34,0.842459
35,0.899614,35,0.807494
36,0.652657,36,0.769268
37,0.716352,37,0.727942
38,0.86421,38,0.683687
39,0.480736,39,0.636687
40,0.541879,40,0.587133
41,0.579413,41,0.535227
42,0.426289,42,0.48118
43,0.315821,43,0.425206
44,0.489277,44,0.36753
45,0.505013,45,0.308382
46,0.186914,46,0.247993
47,0.250304,47,0.186605
48,-0.0492511,48,0.124455
49,0.0647132,49,0.0617887
50,0.179833,50,-0.00114799
51,0.0992565,51,-0.0641093
52,-0.204114,52,-0.126849
53,-0.359231,53,-0.189122
54,-0.175415,54,-0.250684
55,-0.158115,55,-0.311296
56,-0.335305,56,-0.370716
57,-0.554622,57,-0.428712
58,-0.491648,58,-0.485054
59,-0.534258,59,-0.539519
60,-0.625549,60,-0.591887
61,-0.609927,61,-0.641953
62,-0.582206,62,-0.689514
63,-0.738851,63,-0.734375
64,-0.82339,64,-0.776351
65,-0.994978,65,-0.815278
66,-0.779134,66,-0.850986
67,-1.03444,67,-0.883328
68,-0.736273,68,-0.91217
69,-0.991381,69,-0.937387
70,-1.00106,70,-0.958874
71,-1.04183,71,-0.976536
72,-1.07353,72,-0.990297
73,-1.07299,73,-1.0001
74,-0.971116,74,-1.0059
75,-0.895474,75,-1.00768
76,-1.03896,76,-1.00544
77,-0.836049,77,-0.999186
78,-0.784436,78,-0.988956
79,-1.14838,79,-0.974825
80,-1.07343,80,-0.956852
81,-0.879073,81,-0.935167
82,-1.02569,82,-0.909895
83,-1.02698,83,-0.88118
84,-0.747078,84,-0.849209
85,-0.632589,85,-0.814203
86,-0.835988,86,-0.776373
87,-0.635735,87,-0.736015
88,-0.601348,88,-0.693398
89,-0.538538,89,-0.648857
90,-0.729995,90,-0.602726
91,-0.711424,91,-0.555424
92,-0.340703,92,-0.507359
93,-0.579538,93,-0.458958
94,-0.562424,94,-0.410736
95,-0.327212,95,-0.36322
96,-0.174231,96,-0.316921
97,-0.357827,97,-0.272499
98,-0.244557,98,-0.230518
99,-0.146649,99,-0.191681
